L1NAME,PROVINCE,CITY,BANKCODE12D,L2NAME,L1CATCODE,COUNTYHINT,DATETIME
中国建设银行,安徽省,安庆市,105368000013,中国建设银行安庆分行会计结算部,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000030,中国建设银行安庆分行石化专业支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000048,中国建设银行安庆分行集贤路支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000056,中国建设银行安庆分行城中支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000064,中国建设银行安庆分行开发区支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000072,中国建设银行安庆分行城东支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000089,中国建设银行安庆分行华中路支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000097,中国建设银行股份有限公司安庆宜秀支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000169,中国建设银行股份有限公司安庆中宜支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000177,中国建设银行股份有限公司安庆华茂支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000185,中国建设银行股份有限公司安庆南翔支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000216,中国建设银行股份有限公司安庆宜城支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000224,中国建设银行股份有限公司安庆中兴大道支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000312,中国建设银行股份有限公司安庆光彩支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368000329,中国建设银行股份有限公司安庆东部新城支行,none,,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368100022,中国建设银行股份有限公司桐城新渡支行,none,桐城市,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368100047,中国建设银行股份有限公司桐城广场支行,none,桐城市,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368100055,中国建设银行股份有限公司桐城六尺巷支行,none,桐城市,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368100364,中国建设银行安庆分行桐城市支行,none,桐城市,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368200023,中国建设银行股份有限公司怀宁石牌支行,none,怀宁县,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368200082,中国建设银行股份有限公司怀宁高河支行,none,怀宁县,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368200451,中国建设银行安庆分行怀宁县支行,none,怀宁县,2020-11-01 09:05:01
中国建设银行,安徽省,安庆市,105368400437,中国建设银行股份有限公司潜山支行,none,潜山县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368400445,中国建设银行股份有限公司潜山潜阳路支行,none,潜山县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368500026,中国建设银行股份有限公司太湖晋熙支行,none,太湖县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368500350,中国建设银行安庆分行太湖支行,none,太湖县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368600331,中国建设银行安庆分行宿松支行,none,宿松县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368600340,中国建设银行股份有限公司宿松孚玉支行,none,宿松县,2020-11-01 09:05:02
中国建设银行,安徽省,安庆市,105368700328,中国建设银行股份有限公司望江支行,none,望江县,2020-11-01 09:05:02
