L1NAME,PROVINCE,CITY,BANKCODE12D,L2NAME,L1CATCODE,COUNTYHINT,DATETIME
中国建设银行,福建省,福州市,105391005224,中国建设银行股份有限公司福州江南支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005152,中国建设银行股份有限公司福州台江支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005177,中国建设银行股份有限公司福州金山支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005185,中国建设银行股份有限公司福州福兴支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005193,中国建设银行股份有限公司福州一化支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005208,中国建设银行股份有限公司福州师大支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005216,中国建设银行股份有限公司福州则徐大道支行,none,,2021-02-18 09:34:41
中国建设银行,福建省,福州市,105391005232,中国建设银行股份有限公司福州金山万达支行,none,,2021-02-18 09:34:41
中国建设银行,广东省,梅州市,105596033004,中国建设银行股份有限公司梅州市分行,none,,2021-02-18 09:35:39
中国建设银行,福建省,福州市,105391005169,中国建设银行股份有限公司福州榕城古街支行,none,,2021-02-18 09:34:41
